Iata 코드,Icao 코드,항공사명
S7,SBI,S7 항공
GA,GIA,가루다인도네시아항공
KE,KAL,대한항공
DL,DAL,델타항공
QV,LAO,라오항공
AT,RAM,로얄 에어 모로코
LH,DLH,루프트한자항공
AE,MDA,만다린항공
MH,MAS,말레이시아항공
OM,MGL,몽골항공
9S,SOO,미국남부화물항공
VN,HVN,베트남항공
VJ,VJC,비엣젯항공
3U,CSC,사천항공
SC,CDG,산동항공
FM,CSH,상하이항공
5J,CEB,세부퍼시픽항공
6J,SNJ,솔라시드 항공
ZA,SWM,스카이 앙코르 항공
TR,TGW,스쿠트타이거항공
7L,AZQ,실크웨이웨스트항공
ZH,CSZ,심천항공
SQ,SIA,싱가포르항공
XO,SGD,씨에어
AA,AAL,아메리칸항공
OZ,AAR,아시아나항공
5Y,GTI,아틀라스항공
AZ,AZA,알리탈리아 항공
R3,SYL,야쿠티아 항공
Y8,YZR,양쯔강익스프레스항공
EK,UAE,에미레이트항공
BR,EVA,에바항공
NX,AMU,에어 마카오
UX,AEA,에어 유로파
AF,AFR,에어 프랑스
3S,3SX,에어로로직
SU,AFL,에어로플로트항공
RU,ABW,에어브릿지
RS,ASV,에어서울
KC,KZR,에어아스타나
Z2,EZD,에어아시아 필리핀
D7,XAX,에어아시아엑스
AI,AIC,에어인디아
KJ,AIH,에어인천
NQ,AJX,에어재팬
AC,ACA,에어캐나다
LD,AHK,에어홍콩
ET,ETH,에티오피아항공
EY,ETD,에티하드 항공
BA,BAW,영국항공
HZ,SHU,오로라항공
HY,UZB,우즈베키스탄항공
UA,UAL,유나이티드항공
B7,UIA,유니항공
5X,UPS,유피에스항공
ZE,ESR,이스타항공
JL,JAL,일본항공
7C,JJA,제주항공
9W,JAI,제트 에어웨이즈
CA,CCA,중국국제항공
CZ,CSN,중국남방항공
MU,CES,중국동방항공
CF,CYZ,중국우정항공
MF,CXA,중국하문항공
CK,CKK,중국화물항공
CI,CAL,중화항공
LJ,JNA,진에어
OK,CSA,체코항공
9C,CQH,춘추항공
CV,CLX,카고룩스항공
QR,QTR,카타르항공
K6,VAV,캄보디아 앙코르 항공
CX,CPA,캐세이패시픽항공
KL,KLM,케이엘엠네덜란드항공
QF,QFA,콴타스항공
XJ,TAX,타이에어아시아엑스
TG,THA,타이항공
TK,THY,터키항공
GS,GCR,텐진 에어라인
TW,TWB,티웨이항공
2P,GAP,팔익스프레스 항공
8Y,AAP,팬퍼시픽항공
FX,FDX,페덱스
PO,PAC,폴라에어카고
LO,LOT,폴란드항공
MM,APJ,피치항공
AY,FIN,핀에어
PR,PAL,필리핀항공
HA,HAL,하와이안항공
UO,HKE,홍콩익스프레스항공
HX,CRK,홍콩항공
